Youth Coordinating Board;80;
Regulatory Services;100;
PW-Water;200;
PW-Transportation Planning & Engineering;10;
PW-Traffic & Parking;30;
PW-Admin;40;
Police-QC;49;
Police-Traffic;32;
Police-Tech & Support;54;
Police-Strategic Analysis;43;
Police-Records;23;
Police-PIO;53;
Police-P & E;54;
Police-Ops & Admin;76;
Police-Licensing;2;
Police-Juvenile;43;
Police-Internal Affairs;65;
Police-General Investigations;65;
Police-Forensics;23;
Police-Finance;65;
Police-EIS;34;
Police-Chief of Staff;1;
Police-Admin;100;
Neighborhood Community Relations;43;
MDR;54;
Mayor;7;
Internal Audit;23;
Information Technology;54;
Intergovernmental Relations;54;
Human Resources;6;
Health;5;
Fire-Admin;2;
Finance-Treasury Utility Billing;54;
Finance-Risk Management;45;
Finance-Property Services;34;
Finance-Procurement;4;
Finance-Payroll;34;
Finance-Development Finance;34;
Finance-Debt Management;34;
Finance-Controller;34;
Finance-Budget Management;6;
Finance-Admin;65;
Domestic Abuse Project;56;
CPED-Long Range Planning;56;
CPED-Housing Policy & Development;34;
CPED-Economic Policy & Development;67;
CPED-Development Services;78;
Communications;53;
City Council;45;
City Clerk;56;
Civil Rights;43;
City Coordinator;34;
City Attorney;56;
City Assessor;80;
